1, private, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
25, private, terralith:alpha_islands_winter, MONSTER, endermanoverhaul:snowy_enderman, 10, 1, 4
26, private, terralith:alpha_islands_winter, MONSTER, majruszsdifficulty:tank, 5, 1, 1
27, private, terralith:alpha_islands_winter, CREATURE, minecraft:sheep, 12, 2, 2
28, private, terralith:alpha_islands_winter, CREATURE, minecraft:pig, 10, 2, 2
29, private, terralith:alpha_islands_winter, CREATURE, minecraft:chicken, 10, 2, 2
30, private, terralith:alpha_islands_winter, CREATURE, minecraft:cow, 8, 2, 2
31, private, terralith:alpha_islands_winter, CREATURE, minecraft:wolf, 8, 2, 2
32, private, terralith:alpha_islands_winter, CREATURE, naturalist:bluejay, 8, 1, 4
33, forest, terralith:alpine_grove, MONSTER, minecraft:spider, 80, 4, 4
34, forest, terralith:alpine_grove, MONSTER, minecraft:zombie, 80, 4, 4
35, forest, terralith:alpine_grove, MONSTER, minecraft:zombie_villager, 5, 1, 1
36, forest, terralith:alpine_grove, MONSTER, minecraft:skeleton, 80, 4, 4
37, forest, terralith:alpine_grove, MONSTER, minecraft:slime, 80, 4, 4
38, forest, terralith:alpine_grove, MONSTER, minecraft:witch, 5, 1, 1
39, forest, terralith:alpine_grove, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
40, forest, terralith:alpine_grove, MONSTER, endermanoverhaul:cave_enderman, 5, 1, 2
41, forest, terralith:alpine_grove, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
42, forest, terralith:alpine_grove, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
43, forest, terralith:alpine_grove, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
44, forest, terralith:alpine_grove, MONSTER, endermanoverhaul:snowy_enderman, 10, 1, 4
45, forest, terralith:alpine_grove, MONSTER, majruszsdifficulty:tank, 5, 1, 1
46, forest, terralith:alpine_grove, CREATURE, minecraft:sheep, 12, 4, 4
47, forest, terralith:alpine_grove, CREATURE, minecraft:chicken, 10, 4, 4
48, forest, terralith:alpine_grove, CREATURE, minecraft:cow, 8, 4, 4
49, forest, terralith:alpine_grove, CREATURE, minecraft:wolf, 8, 2, 2
50, forest, terralith:alpine_grove, CREATURE, minecraft:rabbit, 5, 2, 3
51, forest, terralith:alpine_grove, CREATURE, minecraft:fox, 8, 1, 2
52, forest, terralith:alpine_grove, CREATURE, naturalist:bear, 8, 1, 2
53, forest, terralith:alpine_grove, CREATURE, naturalist:bluejay, 8, 1, 4
54, forest, terralith:alpine_grove, CREATURE, naturalist:boar, 15, 4, 4
55, forest, terralith:alpine_grove, CREATURE, naturalist:butterfly, 20, 3, 5
56, forest, terralith:alpine_grove, CREATURE, naturalist:cardinal, 8, 1, 4
57, forest, terralith:alpine_grove, CREATURE, naturalist:deer, 8, 1, 3
58, forest, terralith:alpine_grove, CREATURE, naturalist:finch, 8, 1, 4
59, forest, terralith:alpine_grove, CREATURE, minecraft:fox, 6, 2, 4
60, forest, terralith:alpine_grove, CREATURE, naturalist:lizard, 15, 1, 2
61, forest, terralith:alpine_grove, CREATURE, minecraft:rabbit, 6, 2, 3
62, forest, terralith:alpine_grove, CREATURE, naturalist:robin, 8, 1, 4
63, forest, terralith:alpine_grove, CREATURE, naturalist:snail, 5, 1, 3
64, forest, terralith:alpine_grove, CREATURE, naturalist:snake, 5, 1, 1
65, forest, terralith:alpine_grove, AMBIENT, minecraft:bat, 10, 8, 8
66, forest, terralith:alpine_grove, AMBIENT, naturalist:firefly, 80, 2, 3
67, forest, terralith:alpine_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
68, private, terralith:alpine_highlands, MONSTER, minecraft:spider, 80, 4, 4
69, private, terralith:alpine_highlands, MONSTER, minecraft:zombie, 80, 4, 4
70, private, terralith:alpine_highlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
71, private, terralith:alpine_highlands, MONSTER, minecraft:skeleton, 80, 4, 4
72, private, terralith:alpine_highlands, MONSTER, minecraft:creeper, 80, 4, 4
73, private, terralith:alpine_highlands, MONSTER, minecraft:slime, 80, 4, 4
74, private, terralith:alpine_highlands, MONSTER, minecraft:enderman, 10, 1, 4
75, private, terralith:alpine_highlands, MONSTER, minecraft:witch, 5, 1, 1
76, private, terralith:alpine_highlands, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
77, private, terralith:alpine_highlands, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
78, private, terralith:alpine_highlands, MONSTER, majruszsdifficulty:tank, 5, 1, 1
79, private, terralith:alpine_highlands, CREATURE, minecraft:sheep, 12, 4, 4
80, private, terralith:alpine_highlands, CREATURE, minecraft:pig, 10, 4, 4
81, private, terralith:alpine_highlands, CREATURE, minecraft:chicken, 10, 4, 4
82, private, terralith:alpine_highlands, CREATURE, minecraft:cow, 8, 4, 4
83, private, terralith:alpine_highlands, CREATURE, minecraft:horse, 5, 1, 3
84, private, terralith:alpine_highlands, CREATURE, minecraft:donkey, 5, 1, 3
85, private, terralith:alpine_highlands, CREATURE, minecraft:wolf, 5, 4, 4
86, private, terralith:alpine_highlands, CREATURE, naturalist:bear, 8, 1, 2
87, private, terralith:alpine_highlands, CREATURE, naturalist:bluejay, 8, 1, 4
88, private, terralith:alpine_highlands, CREATURE, naturalist:butterfly, 20, 3, 5
89, private, terralith:alpine_highlands, CREATURE, naturalist:robin, 8, 1, 4
90, private, terralith:alpine_highlands, CREATURE, naturalist:snail, 5, 1, 3
91, private, terralith:alpine_highlands, CREATURE, naturalist:snake, 5, 1, 1
92, private, terralith:alpine_highlands, CREATURE, naturalist:sparrow, 8, 1, 4
93, private, terralith:alpine_highlands, AMBIENT, minecraft:bat, 10, 8, 8
94, private, terralith:alpine_highlands, AMBIENT, naturalist:firefly, 80, 2, 3
95, private, terralith:alpine_highlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
96, jungle, terralith:amethyst_canyon, MONSTER, minecraft:spider, 80, 4, 4
97, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie, 80, 4, 4
98, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie_villager, 5, 1, 1
99, jungle, terralith:amethyst_canyon, MONSTER, minecraft:skeleton, 80, 4, 4
100, jungle, terralith:amethyst_canyon, MONSTER, minecraft:slime, 80, 4, 4
101, jungle, terralith:amethyst_canyon, MONSTER, minecraft:enderman, 10, 1, 4
102, jungle, terralith:amethyst_canyon, MONSTER, minecraft:witch, 5, 1, 1
103, jungle, terralith:amethyst_canyon, MONSTER, minecraft:ocelot, 5, 1, 3
104, jungle, terralith:amethyst_canyon, MONSTER, creeperoverhaul:bamboo_creeper, 75, 2, 2
105, jungle, terralith:amethyst_canyon, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
106, jungle, terralith:amethyst_canyon, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
107, jungle, terralith:amethyst_canyon, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
108, jungle, terralith:amethyst_canyon, MONSTER, creeperoverhaul:jungle_creeper, 75, 2, 2
109, jungle, terralith:amethyst_canyon, MONSTER, majruszsdifficulty:tank, 5, 1, 1
110, jungle, terralith:amethyst_canyon, CREATURE, minecraft:sheep, 12, 4, 4
111, jungle, terralith:amethyst_canyon, CREATURE, minecraft:pig, 10, 4, 4
112, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 4, 4
113, jungle, terralith:amethyst_canyon, CREATURE, minecraft:cow, 8, 4, 4
114, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 2, 2
115, jungle, terralith:amethyst_canyon, CREATURE, minecraft:parrot, 40, 1, 2
116, jungle, terralith:amethyst_canyon, CREATURE, minecraft:panda, 5, 1, 2
117, jungle, terralith:amethyst_canyon, CREATURE, minecraft:wolf, 8, 4, 4
118, jungle, terralith:amethyst_canyon, CREATURE, naturalist:coral_snake, 5, 1, 1
119, jungle, terralith:amethyst_canyon, CREATURE, naturalist:hippo, 15, 3, 4
120, jungle, terralith:amethyst_canyon, CREATURE, naturalist:lizard, 15, 1, 2
121, jungle, terralith:amethyst_canyon, CREATURE, naturalist:tortoise, 6, 1, 3
122, jungle, terralith:amethyst_canyon, AMBIENT, minecraft:bat, 10, 8, 8
123, jungle, terralith:amethyst_canyon, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
124, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:spider, 80, 4, 4
125, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie, 80, 4, 4
126, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie_villager, 5, 1, 1
127, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:skeleton, 80, 4, 4
128, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:slime, 80, 4, 4
129, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:enderman, 10, 1, 4
130, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:witch, 5, 1, 1
131, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:ocelot, 5, 1, 3
132, jungle, terralith:amethyst_rainforest, MONSTER, creeperoverhaul:bamboo_creeper, 75, 2, 2
133, jungle, terralith:amethyst_rainforest, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
134, jungle, terralith:amethyst_rainforest, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
135, jungle, terralith:amethyst_rainforest, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
136, jungle, terralith:amethyst_rainforest, MONSTER, creeperoverhaul:jungle_creeper, 75, 2, 2
137, jungle, terralith:amethyst_rainforest, MONSTER, majruszsdifficulty:tank, 5, 1, 1
138, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:sheep, 12, 4, 4
139, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:pig, 10, 4, 4
140, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 4, 4
141, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:cow, 8, 4, 4
142, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 2, 2
143, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:parrot, 40, 1, 2
144, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:panda, 5, 1, 2
145, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:wolf, 8, 4, 4
146, jungle, terralith:amethyst_rainforest, CREATURE, naturalist:coral_snake, 5, 1, 1
147, jungle, terralith:amethyst_rainforest, CREATURE, naturalist:hippo, 15, 3, 4
148, jungle, terralith:amethyst_rainforest, CREATURE, naturalist:lizard, 15, 1, 2
149, jungle, terralith:amethyst_rainforest, CREATURE, naturalist:tortoise, 6, 1, 3
150, jungle, terralith:amethyst_rainforest, AMBIENT, minecraft:bat, 10, 8, 8
151, jungle, terralith:amethyst_rainforest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
152, private, terralith:ancient_sands, MONSTER, minecraft:spider, 80, 4, 4
153, private, terralith:ancient_sands, MONSTER, minecraft:zombie, 19, 4, 4
154, private, terralith:ancient_sands, MONSTER, minecraft:zombie_villager, 5, 1, 1
155, private, terralith:ancient_sands, MONSTER, minecraft:skeleton, 80, 4, 4
156, private, terralith:ancient_sands, MONSTER, minecraft:creeper, 80, 4, 4
157, private, terralith:ancient_sands, MONSTER, minecraft:slime, 80, 4, 4
158, private, terralith:ancient_sands, MONSTER, minecraft:enderman, 10, 1, 4
159, private, terralith:ancient_sands, MONSTER, minecraft:witch, 5, 1, 1
160, private, terralith:ancient_sands, MONSTER, minecraft:husk, 80, 4, 4
161, private, terralith:ancient_sands, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
162, private, terralith:ancient_sands, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
163, private, terralith:ancient_sands, MONSTER, majruszsdifficulty:tank, 5, 1, 1
164, private, terralith:ancient_sands, CREATURE, minecraft:rabbit, 5, 2, 3
165, private, terralith:ancient_sands, CREATURE, naturalist:cardinal, 8, 1, 4
166, private, terralith:ancient_sands, CREATURE, naturalist:rattlesnake, 5, 1, 1
167, private, terralith:ancient_sands, AMBIENT, minecraft:bat, 10, 8, 8
168, private, terralith:ancient_sands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
169, savanna, terralith:arid_highlands, MONSTER, minecraft:spider, 80, 4, 4
170, savanna, terralith:arid_highlands, MONSTER, minecraft:zombie, 80, 4, 4
171, savanna, terralith:arid_highlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
172, savanna, terralith:arid_highlands, MONSTER, minecraft:skeleton, 80, 4, 4
173, savanna, terralith:arid_highlands, MONSTER, minecraft:creeper, 80, 4, 4
174, savanna, terralith:arid_highlands, MONSTER, minecraft:slime, 80, 4, 4
175, savanna, terralith:arid_highlands, MONSTER, minecraft:witch, 5, 1, 1
176, savanna, terralith:arid_highlands, MONSTER, endermanoverhaul:cave_enderman, 5, 1, 2
177, savanna, terralith:arid_highlands, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
178, savanna, terralith:arid_highlands, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
179, savanna, terralith:arid_highlands, MONSTER, endermanoverhaul:savanna_enderman, 10, 1, 4
180, savanna, terralith:arid_highlands, MONSTER, majruszsdifficulty:tank, 5, 1, 1
181, savanna, terralith:arid_highlands, CREATURE, minecraft:sheep, 12, 4, 4
182, savanna, terralith:arid_highlands, CREATURE, minecraft:pig, 10, 4, 4
183, savanna, terralith:arid_highlands, CREATURE, minecraft:chicken, 10, 4, 4
184, savanna, terralith:arid_highlands, CREATURE, minecraft:cow, 8, 4, 4
185, savanna, terralith:arid_highlands, CREATURE, minecraft:horse, 5, 1, 3
186, savanna, terralith:arid_highlands, CREATURE, minecraft:donkey, 5, 1, 1
187, savanna, terralith:arid_highlands, CREATURE, naturalist:boar, 15, 4, 4
188, savanna, terralith:arid_highlands, CREATURE, naturalist:cardinal, 8, 1, 4
189, savanna, terralith:arid_highlands, CREATURE, naturalist:elephant, 10, 2, 3
190, savanna, terralith:arid_highlands, CREATURE, naturalist:finch, 8, 1, 4
191, savanna, terralith:arid_highlands, CREATURE, naturalist:giraffe, 10, 2, 4
192, savanna, terralith:arid_highlands, CREATURE, naturalist:hippo, 15, 3, 4
193, savanna, terralith:arid_highlands, CREATURE, naturalist:lion, 8, 3, 5
194, savanna, terralith:arid_highlands, CREATURE, naturalist:rattlesnake, 5, 1, 1
195, savanna, terralith:arid_highlands, CREATURE, naturalist:rhino, 15, 1, 3
196, savanna, terralith:arid_highlands, CREATURE, naturalist:snail, 5, 1, 3
197, savanna, terralith:arid_highlands, CREATURE, naturalist:vulture, 15, 2, 4
198, savanna, terralith:arid_highlands, CREATURE, naturalist:zebra, 10, 2, 3
199, savanna, terralith:arid_highlands, AMBIENT, minecraft:bat, 10, 8, 8
200, savanna, terralith:arid_highlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
201, private, terralith:ashen_savanna, MONSTER, minecraft:spider, 80, 4, 4
202, private, terralith:ashen_savanna, MONSTER, minecraft:zombie, 80, 4, 4
203, private, terralith:ashen_savanna, MONSTER, minecraft:zombie_villager, 5, 1, 1
204, private, terralith:ashen_savanna, MONSTER, minecraft:skeleton, 80, 4, 4
205, private, terralith:ashen_savanna, MONSTER, minecraft:creeper, 80, 4, 4
206, private, terralith:ashen_savanna, MONSTER, minecraft:slime, 80, 4, 4
207, private, terralith:ashen_savanna, MONSTER, minecraft:witch, 5, 1, 1
208, private, terralith:ashen_savanna, MONSTER, endermanoverhaul:cave_enderman, 5, 1, 2
209, private, terralith:ashen_savanna, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
210, private, terralith:ashen_savanna, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
211, private, terralith:ashen_savanna, MONSTER, endermanoverhaul:savanna_enderman, 10, 1, 4
212, private, terralith:ashen_savanna, MONSTER, majruszsdifficulty:tank, 5, 1, 1
213, private, terralith:ashen_savanna, CREATURE, minecraft:sheep, 12, 4, 4
214, private, terralith:ashen_savanna, CREATURE, minecraft:pig, 10, 4, 4
215, private, terralith:ashen_savanna, CREATURE, minecraft:chicken, 10, 4, 4
216, private, terralith:ashen_savanna, CREATURE, minecraft:cow, 8, 4, 4
217, private, terralith:ashen_savanna, CREATURE, minecraft:horse, 5, 1, 3
218, private, terralith:ashen_savanna, CREATURE, minecraft:donkey, 5, 1, 1
219, private, terralith:ashen_savanna, CREATURE, minecraft:llama, 8, 2, 2
220, private, terralith:ashen_savanna, CREATURE, naturalist:boar, 15, 4, 4
221, private, terralith:ashen_savanna, CREATURE, naturalist:cardinal, 8, 1, 4
222, private, terralith:ashen_savanna, CREATURE, naturalist:elephant, 10, 2, 3
223, private, terralith:ashen_savanna, CREATURE, naturalist:finch, 8, 1, 4
224, private, terralith:ashen_savanna, CREATURE, naturalist:giraffe, 10, 2, 4
225, private, terralith:ashen_savanna, CREATURE, naturalist:hippo, 15, 3, 4
226, private, terralith:ashen_savanna, CREATURE, naturalist:lion, 8, 3, 5
227, private, terralith:ashen_savanna, CREATURE, naturalist:rattlesnake, 5, 1, 1
228, private, terralith:ashen_savanna, CREATURE, naturalist:rhino, 15, 1, 3
229, private, terralith:ashen_savanna, CREATURE, naturalist:snail, 5, 1, 3
230, private, terralith:ashen_savanna, CREATURE, naturalist:vulture, 15, 2, 4
231, private, terralith:ashen_savanna, CREATURE, naturalist:zebra, 10, 2, 3
232, private, terralith:ashen_savanna, AMBIENT, minecraft:bat, 10, 8, 8
233, private, terralith:ashen_savanna, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
234, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
235, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 80, 4, 4
236, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
237, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 80, 4, 4
238, badlands, minecraft:badlands, MONSTER, minecraft:slime, 80, 4, 4
239, badlands, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
240, badlands, minecraft:badlands, MONSTER, creeperoverhaul:badlands_creeper, 75, 2, 2
241, badlands, minecraft:badlands, MONSTER, endermanoverhaul:badlands_enderman, 10, 1, 4
242, badlands, minecraft:badlands, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
243, badlands, minecraft:badlands, MONSTER, endermanoverhaul:cave_enderman, 5, 1, 2
244, badlands, minecraft:badlands, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
245, badlands, minecraft:badlands, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
246, badlands, minecraft:badlands, MONSTER, majruszsdifficulty:tank, 5, 1, 1
247, badlands, minecraft:badlands, CREATURE, naturalist:rattlesnake, 5, 1, 1
248, badlands, minecraft:badlands, CREATURE, naturalist:vulture, 15, 2, 4
249, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
250, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
251, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 80, 4, 4
252, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 80, 4, 4
253, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 5, 1, 1
254, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
255, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 80, 4, 4
256, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 10, 1, 4
257, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 5, 1, 1
258, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 5, 1, 1
259, jungle, minecraft:bamboo_jungle, MONSTER, creeperoverhaul:bamboo_creeper, 75, 2, 2
260, jungle, minecraft:bamboo_jungle, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
261, jungle, minecraft:bamboo_jungle, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
262, jungle, minecraft:bamboo_jungle, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
263, jungle, minecraft:bamboo_jungle, MONSTER, creeperoverhaul:jungle_creeper, 75, 2, 2
264, jungle, minecraft:bamboo_jungle, MONSTER, majruszsdifficulty:tank, 5, 1, 1
265, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:sheep, 12, 4, 4
266, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 10, 4, 4
267, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
268, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:cow, 8, 4, 4
269, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
270, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:parrot, 40, 1, 2
271, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:panda, 80, 1, 2
272, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:coral_snake, 5, 1, 1
273, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:hippo, 15, 3, 4
274, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:lizard, 15, 1, 2
275, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:tortoise, 6, 1, 3
276, jungle, minecraft:bamboo_jungle, AMBIENT, minecraft:bat, 10, 8, 8
277, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
278, private, terralith:basalt_cliffs, MONSTER, minecraft:spider, 80, 4, 4
279, private, terralith:basalt_cliffs, MONSTER, minecraft:zombie, 80, 4, 4
280, private, terralith:basalt_cliffs, MONSTER, minecraft:zombie_villager, 5, 1, 1
281, private, terralith:basalt_cliffs, MONSTER, minecraft:skeleton, 80, 4, 4
282, private, terralith:basalt_cliffs, MONSTER, minecraft:creeper, 80, 4, 4
283, private, terralith:basalt_cliffs, MONSTER, minecraft:slime, 80, 4, 4
284, private, terralith:basalt_cliffs, MONSTER, minecraft:enderman, 10, 1, 4
285, private, terralith:basalt_cliffs, MONSTER, minecraft:witch, 5, 1, 1
286, private, terralith:basalt_cliffs, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
287, private, terralith:basalt_cliffs, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
288, private, terralith:basalt_cliffs, MONSTER, majruszsdifficulty:tank, 5, 1, 1
289, private, terralith:basalt_cliffs, AMBIENT, minecraft:bat, 10, 8, 8
290, private, terralith:basalt_cliffs, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
291, nether, minecraft:basalt_deltas, MONSTER, minecraft:ghast, 40, 1, 1
292, nether, minecraft:basalt_deltas, MONSTER, minecraft:magma_cube, 80, 2, 5
293, nether, minecraft:basalt_deltas, MONSTER, majruszsdifficulty:cerberus, 5, 1, 1
294, nether, minecraft:basalt_deltas, MONSTER, minecraft:zombified_piglin, 5, 1, 4
295, nether, minecraft:basalt_deltas, CREATURE, minecraft:strider, 60, 1, 2
296, beach, minecraft:beach, MONSTER, minecraft:spider, 80, 4, 4
297, beach, minecraft:beach, MONSTER, minecraft:zombie, 80, 4, 4
298, beach, minecraft:beach, MONSTER, minecraft:zombie_villager, 5, 1, 1
299, beach, minecraft:beach, MONSTER, minecraft:skeleton, 80, 4, 4
300, beach, minecraft:beach, MONSTER, minecraft:slime, 80, 4, 4
301, beach, minecraft:beach, MONSTER, minecraft:enderman, 10, 1, 4
302, beach, minecraft:beach, MONSTER, minecraft:witch, 5, 1, 1
303, beach, minecraft:beach, MONSTER, creeperoverhaul:beach_creeper, 75, 2, 2
304, beach, minecraft:beach, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
305, beach, minecraft:beach, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
306, beach, minecraft:beach, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
307, beach, minecraft:beach, MONSTER, majruszsdifficulty:tank, 5, 1, 1
308, beach, minecraft:beach, CREATURE, minecraft:turtle, 5, 2, 5
309, beach, minecraft:beach, CREATURE, naturalist:coral_snake, 5, 1, 1
310, beach, minecraft:beach, AMBIENT, minecraft:bat, 10, 8, 8
311, beach, minecraft:beach, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
312, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 80, 4, 4
313, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
314, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
315, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
316, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
317, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 80, 4, 4
318, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 10, 1, 4
319, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
320, forest, minecraft:birch_forest, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
321, forest, minecraft:birch_forest, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
322, forest, minecraft:birch_forest, MONSTER, majruszsdifficulty:tank, 5, 1, 1
323, forest, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 2, 2
324, forest, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 2, 2
